Country,Year,Country_Code,Continent,Region,Population,GDP_Per_Capita,Per_Capita_Sugar_Consumption,Total_Sugar_Consumption,Sugar_From_Sugarcane,Sugar_From_Beet,Sugar_From_HFCS,Processed_Food_Consumption,Avg_Daily_Sugar_Intake,Diabetes_Prevalence,Obesity_Rate,Sugar_Imports,Sugar_Exports,Avg_Retail_Price_Per_Kg,Gov_Tax,Gov_Subsidies,Education_Campaign,Urbanization_Rate,Climate_Conditions,Sugarcane_Production_Yield
USA,1967,USA,North America,Northern America,92518371.42,6726.21,63.97,5918557.37,81.49,31.96,2.22,22,175.28,3.7,35.15,7992345.77,9245394.37,1.65,0,0,0,26.05,1,73.15
Indonesia,2018,IDN,Asia,Southeast Asia,138696089,42222.04,26.15,3626913.7,51.63,27.26,19.72,24.61,71.65,13.07,24.65,698666.13,7658653.47,3.82,0,1,0,83.58,5,65.51
France,2023,FRA,Europe,Western Europe,191308577.6,13951.05,22.84,4369185.08,61.99,33.53,54.01,258.81,62.58,12.13,13.41,8975783.28,3312365.99,3.78,0,0,0,86.28,1,69.55
Germany,2011,DEU,Europe,Western Europe,263905412.9,45653.84,30,7917623.8,57.51,5.57,54.31,61.09,82.2,14.93,15.33,8497239.39,4413015.04,3.59,0,0,0,29.15,3,48.78
India,1965,IND,Asia,South Asia,83743853.14,8168.89,54.7,4580591.43,54.35,7.15,34.48,178.15,149.87,12.47,10.23,4116017.95,9324586.67,3.17,0,0,1,68.55,2,83.98
Germany,2007,DEU,Europe,Western Europe,53461061.72,31577.82,53.92,2882398.78,62.4,14.65,46.53,20.9,147.73,10.52,19.62,461791.04,9798578.96,4.85,0,1,0,57.81,2,37.07
India,1964,IND,Asia,South Asia,195403108.6,31699.2,54.81,10709119.1,65.69,37.49,52.98,99.5,150.17,8.97,36.12,4163549.46,9924400.07,4.01,0,1,1,49.22,5,54.47
Russia,1965,RUS,Europe,Eastern Europe,144980326.4,20550.26,62.92,9122333.51,79.8,18.07,31.52,60.57,172.4,6.64,36.98,8058391.32,258458.85,3.37,0,0,0,21.09,4,70.49
Russia,1997,RUS,Europe,Eastern Europe,209987549.6,36895.53,11.19,2349272.23,81.93,36.09,38.08,283.77,30.65,9.81,27.73,2726235.05,8377814.76,4.51,1,0,0,39.53,3,69.12
Australia,2019,AUS,Oceania,Australia & New Zealand,93159245.52,33554.34,34.55,3218416.72,88.55,23.81,13.18,250.36,94.66,6.19,21.66,7810837.67,8925543.56,4.16,0,1,0,28.62,5,49.3
Australia,2020,AUS,Oceania,Australia & New Zealand,201062661.1,38689.98,50.69,10192787.67,58.43,36.44,59.47,50.43,138.9,4.99,7.95,3052716.05,4534906.61,2.45,0,1,1,74.23,2,66.84
Indonesia,1961,IDN,Asia,Southeast Asia,174740546.4,33179.35,68.27,11929357.48,62.04,28.13,56.15,204.55,187.06,13.32,31.44,5529376.21,646462.5,4.66,0,0,0,57.88,1,55.78
Australia,1998,AUS,Oceania,Australia & New Zealand,269276398.2,14989.19,28.94,7791547.23,67.81,20.22,10.01,100.33,79.28,6.48,11.39,1637971.49,1159851.76,3.96,0,0,0,49.73,5,85.79
Australia,1974,AUS,Oceania,Australia & New Zealand,241475095.5,23876.89,34.63,8361219.78,81.32,18.08,21.31,272.03,94.87,15.65,20.21,2096054.4,1168621.4,2.31,0,0,1,58.78,5,87.93
South Africa,1980,ZAF,Africa,Sub-Saharan Africa,221692562,18167.93,28.99,6427230.75,58.16,36.8,51.91,252.52,79.44,4.92,30.2,698026.26,7066472.65,1.6,1,0,0,58.92,4,95.52
USA,2012,USA,North America,Northern America,192645838.9,9468.84,57.21,11021443.87,81.96,5.24,43.18,215.25,156.76,4.2,36.38,3461998.92,8639646.97,0.96,0,0,0,55.88,5,70.21
Indonesia,1987,IDN,Asia,Southeast Asia,114431814.1,14690.02,52.88,6051485.53,84.15,37.73,1.73,162.94,144.9,12.42,27.89,8786052.63,8334507.48,2.32,0,0,1,82.27,4,66.49
USA,2004,USA,North America,Northern America,105224976.2,23434.27,31.7,3335167.52,70.41,23.55,59.43,137.71,86.85,5.62,35.02,2205655.26,6187897.5,3.03,0,1,0,40.6,5,96.69
Australia,1986,AUS,Oceania,Australia & New Zealand,196591256.9,43788.94,62.3,12247445.15,63.15,24.55,43.1,96.05,170.7,15.98,18.72,5300067.33,9172089.74,3.55,0,0,0,56.66,1,48.56
South Africa,1964,ZAF,Africa,Sub-Saharan Africa,40139102.38,26023.01,11.07,444221.6,80.9,37.5,58.17,33.56,30.32,6.35,6.4,8679699.97,893053.5,4.4,0,0,0,20.07,2,54
China,1976,CHN,Asia,East Asia,246154390.8,32769.3,14.32,3525473.45,62.84,29.51,5.21,65.8,39.24,2.84,39.76,619903.86,2557584.2,1.15,0,1,0,40.27,5,47.5
Russia,1996,RUS,Europe,Eastern Europe,111730279.8,21584.78,67.01,7487466.21,55.92,33.94,41.66,174.26,183.62,3.98,31.68,7538475.15,4802610.68,1.91,1,1,0,85.68,4,83.51
South Africa,2017,ZAF,Africa,Sub-Saharan Africa,189481224.8,43568.09,41.85,7930592.61,83.39,31.97,44.69,221.31,114.68,14.08,10.83,1326444.13,1366609.26,0.65,0,1,1,31.61,1,43.68
Brazil,1983,BRA,South America,South America,150220110.6,33299.76,15.36,2308095.26,66.45,26.42,3.88,20.66,42.1,3.26,27.4,2281381.69,6265531.2,3.49,0,1,0,74.51,1,84.63
Mexico,1990,MEX,North America,Central America,156278621.1,4986.2,66.69,10422919.96,72.83,29.09,3.87,119.96,182.74,14.3,38.1,3553069.63,8333024.09,0.6,0,1,1,82.67,1,92.17
Russia,1994,RUS,Europe,Eastern Europe,221663837.7,24136.31,68.36,15154006.78,86.74,24.62,45.74,58.08,187.32,5.52,36.44,2957901.25,8492200.8,0.71,0,0,0,89.41,4,68.29
Australia,2000,AUS,Oceania,Australia & New Zealand,188374346,41448.09,62.3,11735165.95,55.43,17.44,47.86,184.62,170.69,7.02,37.9,3734564.44,3010835.6,3.19,1,1,1,44.13,3,51.95
Brazil,2013,BRA,South America,South America,23193553.5,45312.9,23.1,535820,72.35,11.16,46.32,279.61,63.3,11.96,34.9,2438061.28,7781709.75,3.46,0,1,0,52.16,4,45.76
USA,1963,USA,North America,Northern America,252229986.1,11769.56,31.45,7933449.13,84.48,17.39,14.42,266.71,86.18,4.62,36.2,6131806.53,3545201.7,2.1,0,0,1,55.08,1,65.38
France,1979,FRA,Europe,Western Europe,50184463.34,14611.34,69.49,3487408.27,66.05,25.56,16.03,184.27,190.41,9.78,29.76,2423329.16,791002.62,3.92,0,1,0,21.1,2,41.05
Australia,2002,AUS,Oceania,Australia & New Zealand,93533643.01,2983.9,67.15,6280660.72,70.77,28.92,43.63,80.46,183.99,15.05,29.25,797045.93,4891529.75,3.84,0,1,1,43.91,2,41.37
Indonesia,1976,IDN,Asia,Southeast Asia,85420372.2,25035.8,64.87,5541564.54,56.69,35.78,31.76,226.62,177.75,12.74,29.1,2509292.63,2987736.9,0.77,1,0,0,87.2,1,46.1
France,2005,FRA,Europe,Western Europe,281297119.7,5961.77,10.8,3038841.37,68.83,27.81,7.34,220.11,29.6,11.28,25.04,6498863.18,6780283.19,3.76,1,0,0,88.53,2,67.93
USA,1969,USA,North America,Northern America,62228437.2,34224.89,54.22,3373765.28,67.44,10.98,55.63,58.33,148.55,7.93,13.33,2545272.22,6112736.34,4.76,0,0,0,57.48,2,90.54
Germany,1996,DEU,Europe,Western Europe,50795230.4,45077.54,61.99,3149049.34,57.9,5.9,35.28,66.5,169.87,11.93,8.76,2128917.66,4535197.32,2.63,0,0,1,54.36,3,83.85
France,1980,FRA,Europe,Western Europe,55369726.37,46106.49,26.66,1476332.4,83.32,11.89,5.51,41.71,73.06,4.86,13.6,9368819.83,9327043.51,2.89,0,0,0,20.8,3,32.21
France,1980,FRA,Europe,Western Europe,219230883.7,30548.34,19.27,4225086.04,67.24,36.78,23,154.62,52.81,9.84,37,9585741.77,5453046.32,2.02,0,0,0,86.44,3,45.54
China,2019,CHN,Asia,East Asia,266517933.4,26995.61,53.65,14298339.88,62.24,24.87,45.9,103.25,147,10.52,12.9,3994494.89,139660.71,3.94,0,0,1,24.76,1,68.75
Germany,2008,DEU,Europe,Western Europe,118616855.8,49702.58,10.9,1293452.07,55.21,34.7,37.11,271.04,29.88,11.19,20.11,7772259.12,5245459.31,3.94,0,0,0,13.01,2,36.59
USA,1975,USA,North America,Northern America,41687891.41,29181.57,66.16,2757895.1,53.59,13.2,13.41,20.63,181.27,6.68,20.43,717511.84,612769.66,4.51,1,0,0,51.33,3,54.24
Indonesia,1969,IDN,Asia,Southeast Asia,63770552.54,45871.46,34.74,2215386.47,89.81,30.61,18.53,264.05,95.19,15.37,9.03,3458636.02,7417684.69,4.91,0,0,0,62.43,2,40.73
Russia,2003,RUS,Europe,Eastern Europe,20181282.76,14830.93,68.88,1390124.3,85.92,33.33,31.64,299.71,188.74,5.58,21.75,7659811.95,75538.77,4.87,0,0,0,75.38,3,39.86
Germany,1977,DEU,Europe,Western Europe,265983182.1,1180.68,69.23,18415163.17,68.35,23.74,19.08,219.68,189.7,7.98,33.33,6557985.03,4877970.23,2.34,1,1,1,68.56,3,35.81
USA,1992,USA,North America,Northern America,261381541.6,22238.84,55.44,14490827.64,82.32,32.77,29.78,271.19,151.9,14.6,7.16,4029943.9,9432791.32,3.75,0,1,0,26.44,1,38.7
USA,1990,USA,North America,Northern America,142727421.7,41888.64,67.87,9686353.22,61.99,38.51,12.72,233.81,185.95,6.36,8.29,6155412.93,2730776.45,2.24,0,0,1,26.58,1,68.06
Mexico,1983,MEX,North America,Central America,88906358.26,30381.62,65.28,5804066.51,73.44,9.39,0.11,143.87,178.88,9.74,20.83,719670.42,6766744.04,2.34,0,0,0,39.37,2,33.35
Indonesia,2019,IDN,Asia,Southeast Asia,231165339.9,8254.59,45.44,10503473.67,88.27,26.85,9.3,210.23,124.5,13.98,10.53,9593543.01,7677486.06,4.24,0,1,1,57.11,1,52.17
India,1971,IND,Asia,South Asia,54967984.69,5825.59,52.75,2899566.9,61.2,8.97,50.51,134.69,144.54,16.07,18.64,4288340.68,6488263.92,1.73,0,1,1,32.29,2,79.92
Germany,1979,DEU,Europe,Western Europe,73744330.97,47756.76,43.6,3214919.21,76.52,37.29,24.9,175.1,119.45,11.36,6.31,2910214.13,8962431.28,1.46,1,0,0,30.78,2,60.29
Mexico,1965,MEX,North America,Central America,77449105.24,21359.19,37.92,2937039.9,76.5,38.44,44.39,85.4,103.91,6.17,34.48,2082897.2,2341353.57,2.58,0,0,1,60.9,5,52.87
Australia,1967,AUS,Oceania,Australia & New Zealand,285534203.6,32583.97,62.25,17775613.78,68.11,22.49,1.85,176.49,170.58,13.99,9.68,744200.96,7465390.49,1.52,0,1,1,89.17,2,87.81
Australia,1973,AUS,Oceania,Australia & New Zealand,219217052.7,45340.29,52.97,11612285.11,69.61,38.6,8.78,94.34,145.14,13.73,11.56,7081822.04,6036863.33,1.29,0,0,0,29.77,1,76.81
India,1964,IND,Asia,South Asia,40974742.98,43559.71,60.89,2494872.24,68.26,31.82,34.14,91.27,166.83,14.96,21.04,9905959.16,9660149.99,2.63,0,1,1,59.05,3,86.87
Indonesia,2013,IDN,Asia,Southeast Asia,28760917.56,28561.71,11.23,323106.26,70.84,29.36,43.22,104.86,30.78,4.03,5.68,4590843.39,6839321.78,1.73,0,0,0,55.32,4,31.21
China,1995,CHN,Asia,East Asia,253001641.2,24651.31,42.47,10745368.29,55.95,25.33,47.27,68.22,116.37,7.72,37.24,7046413.81,4333122.83,1.05,0,0,0,11.28,2,60.13
Mexico,2013,MEX,North America,Central America,240880022.6,36895.33,26.42,6363711.48,81.79,19.24,38.58,74.6,72.39,5.64,19.47,4844523.19,1161012.61,1.65,0,1,0,13.71,5,77.28
France,2007,FRA,Europe,Western Europe,201627378.8,17807.46,38.37,7736565.23,76.44,38.73,45.4,280.14,105.14,5.69,23.54,4046710.72,6366510.52,3.86,0,1,1,85.53,4,74.6
China,1997,CHN,Asia,East Asia,59634095.07,31456.84,44.84,2674157.05,88.95,11.9,9.95,141.79,122.87,7.78,35.43,3626660.35,9582422.33,0.99,0,0,1,67.83,5,62.27
Germany,1962,DEU,Europe,Western Europe,144604778.1,1646.05,59.97,8672570.44,59.83,33.09,39.49,188.1,164.33,4,25.16,8949462.13,3320867.61,0.93,0,1,0,22.66,4,63.7
Mexico,1995,MEX,North America,Central America,181215057.7,41303.47,7.07,1281562.33,55.84,17.86,25.52,175.81,19.38,13.19,7.79,7603624.7,6573491.1,2.34,0,0,0,38.26,4,51.18
Indonesia,1981,IDN,Asia,Southeast Asia,279709120.5,49902.6,15.66,4379942.53,63.7,31.36,54.89,86.97,42.91,13.43,33.11,8588112.95,7859369.48,1.23,0,0,0,55.28,3,47.75
India,1967,IND,Asia,South Asia,51657698.32,47757.97,64.89,3352273.29,70.39,10.73,36.92,10.05,177.81,15.76,37.06,965195.54,8752614.95,2.24,0,0,0,67.39,1,43.2
China,2020,CHN,Asia,East Asia,155118595.3,18314.79,67.87,10528301.78,58.2,18.07,32.5,40.26,185.97,4.47,33.29,3621682.78,7654745.72,4.62,0,0,1,20.03,4,70.86
France,2021,FRA,Europe,Western Europe,48167740.02,26789.51,8.6,414361.75,68.42,38.12,34.7,250.93,23.57,9.63,11.65,2086232.28,4147355.97,1.16,0,1,0,10.52,5,61.35
Japan,1973,JPN,Asia,East Asia,133710952.8,12192.74,26.57,3552190.62,75.7,24.51,49.88,41.71,72.79,2.7,21.84,1712375.65,83571.32,3.73,0,0,0,61.92,3,37.24
Indonesia,1966,IDN,Asia,Southeast Asia,60840357.41,15497.88,5.63,342680.17,52.25,22.19,0.68,69.96,15.43,9.8,15.48,8817907.6,5891815.22,0.84,0,0,0,55.27,2,45
Japan,1963,JPN,Asia,East Asia,251019676.3,23138.63,54.23,13613831.46,80.32,31.32,51.62,274.72,148.6,4.51,25.93,8890891.53,5525052.41,4,0,0,1,71,2,96.1
South Africa,1978,ZAF,Africa,Sub-Saharan Africa,125714310.2,1385.18,41.71,5243837.11,60.73,22.26,34.96,25.45,114.29,7.17,19.01,2593125.09,6335151.73,4,1,1,1,49.69,2,51.95
China,2002,CHN,Asia,East Asia,122928508.1,19991.82,49.96,6141259.49,81.05,24.62,30.16,196.6,136.88,7.45,25.73,9748477.54,419218.16,4.47,0,0,0,68.45,4,85.05
Australia,2006,AUS,Oceania,Australia & New Zealand,260022193,28046.6,39.96,10389558.25,66.72,39.65,22.22,159.55,109.48,5.41,5.36,1098402.85,9090835,3.84,0,0,0,82.68,5,36.07
India,1983,IND,Asia,South Asia,227581442,11151.56,20.52,4671035.45,76.58,33.19,7.72,115.82,56.24,3.83,17.28,7766902.69,3047439.86,1.74,0,0,1,62.69,1,90
USA,1975,USA,North America,Northern America,18215071.22,4384.7,54.03,984191.13,79.72,6.39,7.44,154.3,148.05,3.45,26.74,3289279.3,1219184.8,1.53,0,0,0,71.85,2,91.25
Japan,1965,JPN,Asia,East Asia,21059149.69,27208.91,55.91,1177481.4,61.8,32.43,44.53,53.81,153.2,13.05,39.67,4027154.76,1964724.32,4.55,0,0,1,14.72,3,43.95
Japan,1967,JPN,Asia,East Asia,128887989.2,32229.61,67.01,8637426.55,54.2,13.07,41.24,59.73,183.62,15.17,11.12,362173.55,7782591.65,2.93,0,1,1,65.5,3,70.6
Australia,1984,AUS,Oceania,Australia & New Zealand,83399681.94,18150.93,53.59,4469406.03,89.47,34.87,59.42,63.97,146.84,11.47,36.35,4686401.65,1563375.89,2.01,0,1,1,45.27,4,76.14
China,1991,CHN,Asia,East Asia,237993660.5,12249.41,8.55,2033831.1,63.48,14.47,40.91,116.96,23.42,3.77,24.69,4099504.62,6815344.35,4.6,0,0,0,11.22,1,79.68
Russia,1984,RUS,Europe,Eastern Europe,39461916.4,11409.13,6.35,250761.03,58.95,16.21,4.51,71.65,17.41,9.53,39.85,2623227.66,1511678.61,1.24,0,1,0,40.83,5,86.25
Indonesia,1969,IDN,Asia,Southeast Asia,292243016.9,2505.94,53.09,15515647.49,55.55,7.2,32.52,100.73,145.47,4.5,13.9,9634022.38,7173638.84,2.16,0,0,0,54.6,1,86.52
Mexico,2002,MEX,North America,Central America,8206649.519,9641.83,8.64,70932.64,82.49,39.22,50.07,21.56,23.68,8.87,11.85,4973995.18,6897082.76,0.94,0,1,0,79.38,2,94.83
Mexico,2000,MEX,North America,Central America,36350986.66,41021,25.54,928273.3,73.44,32.84,57.28,188.14,69.97,13.74,17.45,4346304.11,8602917.31,4.72,0,1,1,23.18,3,81.08
South Africa,2017,ZAF,Africa,Sub-Saharan Africa,94083679.63,651.04,13.85,1303095.91,88.07,10.18,43.66,79.93,37.95,4.91,25.23,6893979.03,6673520.89,2.01,0,0,0,83.11,5,85.01
India,1976,IND,Asia,South Asia,153235579.5,2672.49,67.98,10416723.89,75.91,22.13,18.58,291.58,186.26,15.69,7.67,7435172.07,669714.39,2.18,0,0,1,11.82,3,91.67
China,2019,CHN,Asia,East Asia,65624711.39,6787.44,25.57,1677736.44,63.62,16.79,15.07,43.12,70.05,7.61,18.61,2625317.21,8434226.33,0.77,0,1,0,41.79,3,82.85
South Africa,2005,ZAF,Africa,Sub-Saharan Africa,221128329.5,21301.91,8.58,1898286.99,83.46,6.13,47.03,32.43,23.52,5.03,7.3,3031183.48,6534418.29,0.96,0,0,1,62.11,2,79.82
South Africa,1962,ZAF,Africa,Sub-Saharan Africa,107905029.1,17020.02,66.72,7199908.07,61.25,37.45,45.62,60.52,182.83,10.05,28.02,379457.55,2106470.9,4.7,0,0,0,21.21,4,64.12
France,1968,FRA,Europe,Western Europe,12522961.69,9302.87,44.57,558128.17,61.63,34.38,29.18,167.31,122.12,14.33,17.04,9918598.32,9397258.17,3.41,0,0,1,73.32,3,67.42
Indonesia,2011,IDN,Asia,Southeast Asia,263438868.3,5992,7.35,1935508.94,51.13,39.54,5.21,226.77,20.13,5.69,38.97,2116.43,8790296.29,3.26,0,0,1,87.09,3,37.67
USA,2017,USA,North America,Northern America,283215836.3,46973.7,59.17,16757447.03,60.08,13.49,40.32,172.13,162.12,5.6,8.61,4799373.48,4240178.73,4.05,0,0,1,13.76,1,86.41
South Africa,2019,ZAF,Africa,Sub-Saharan Africa,185950523.1,45606.89,14.91,2773334.1,60.46,29.48,35.43,259.51,40.87,10.66,36.3,4448666.09,5915103.6,3.33,0,0,0,12.54,5,72.6
South Africa,1977,ZAF,Africa,Sub-Saharan Africa,242154380.2,38708.98,57.16,13841146.69,61.9,9.14,0.71,182.13,156.61,12.31,5.92,8046621.68,6697860.15,1.64,0,0,0,87.85,4,51.57
Australia,2008,AUS,Oceania,Australia & New Zealand,37212350.07,12975.09,44.18,1643999.33,64.75,20.1,38.55,50.19,121.05,3.95,27.92,693624.63,8445675.16,4.61,0,1,1,26.73,4,96.24
China,1989,CHN,Asia,East Asia,81377264.25,16523.05,16.51,1343741.18,73.07,34.64,7.94,63.85,45.24,5.67,38.18,3115053.01,3550461.85,1.61,0,0,1,24.55,1,57.03
USA,1964,USA,North America,Northern America,98244274.62,33459.33,53.92,5297220.61,58.66,5.28,49.55,113.71,147.74,4.79,29.76,7222353.08,6779897.68,4.2,0,0,1,31.56,1,87.13
China,2021,CHN,Asia,East Asia,288265196.9,14939.1,34.54,9957493.79,75.47,21.82,40.41,276.81,94.65,12.03,6.07,9793842.64,7101368.41,1.76,0,1,0,74.36,3,91.32
Indonesia,2011,IDN,Asia,Southeast Asia,154154569.3,26765.83,46.48,7164574.26,55.33,20.21,3.1,143.41,127.35,9.94,28,9961780.79,3689328.88,1.64,0,1,1,13.01,1,79.79
India,2012,IND,Asia,South Asia,114675561,26200.22,21.92,2513616.91,51.04,13.33,48.32,31.65,60.06,11.3,30.54,716049.07,4237507.2,1.11,0,0,0,73.98,4,96.98
South Africa,1980,ZAF,Africa,Sub-Saharan Africa,72103916.4,17720.75,69.82,5034487.68,71.89,27.77,5.12,145.49,191.31,8,26.65,354422.53,5393401.32,2.77,0,0,0,57.19,4,74.84
Australia,1983,AUS,Oceania,Australia & New Zealand,136955320.1,38998.62,38.03,5208060.29,78.4,27.44,4.73,60.2,104.2,8.33,5.83,4696867.23,451385.26,4.51,1,0,0,41.61,1,96.46
Germany,1997,DEU,Europe,Western Europe,97694523.57,37080.45,41.3,4035045.04,61.93,31.31,46.5,33.66,113.17,4.23,14.81,9447497.38,9970186.1,2.22,1,0,0,18.75,2,95.33
Indonesia,1962,IDN,Asia,Southeast Asia,10787529.47,34963.29,23.55,254084.13,56.95,13.64,13.96,101.43,64.54,14.52,15.57,8420773.11,3066824.13,0.7,0,0,0,20.96,2,87.74
Russia,1975,RUS,Europe,Eastern Europe,35784381,19046.52,32.04,1146594.96,87.89,5.57,35.64,247.97,87.79,11.82,20.67,459248.98,5410198.92,4.18,0,0,1,25.45,5,47.65
USA,1974,USA,North America,Northern America,165715081.8,38898.96,37.6,6231030.18,67.64,35.73,36.53,195.78,103.03,12.29,35.82,221139.1,2861854.87,3.27,0,1,1,67.51,2,35.64
Australia,1984,AUS,Oceania,Australia & New Zealand,208985866.4,47906.33,21.8,4555663.51,69.22,12.22,37.79,144.01,59.73,11.08,17.92,4192706.56,9360929.78,3.56,0,0,0,14.59,3,38.24
China,1967,CHN,Asia,East Asia,121960154.7,34604.49,20.48,2497677.89,89.43,19.63,20.27,255.19,56.11,8.23,29.63,1107156.31,9748441.58,0.9,0,0,0,26.62,3,95.45
Germany,2000,DEU,Europe,Western Europe,219713042.2,20691.01,44.03,9674040.62,63.44,21.4,2.39,62.5,120.64,7.95,17.49,3700981.79,9797853.83,1.3,0,0,0,47.78,1,81.97
Brazil,1963,BRA,South America,South America,49836533.67,39925.82,16.94,844098.51,54.01,11.56,32.25,90.91,46.41,9.54,12.03,6981906.2,4352392.46,2.96,0,1,0,60.54,4,49.26
Brazil,1991,BRA,South America,South America,37495326.39,30660.45,40.97,1536361.73,73.48,23.23,30.9,170.68,112.27,12.53,21.2,3357152.9,6052795.77,1.41,0,1,1,22.48,4,96.99
Russia,2004,RUS,Europe,Eastern Europe,251996661.1,43945.01,50.9,12827615.74,72.19,37,25.99,180.99,139.48,7.8,13.53,3650107.86,8216832.74,4.18,0,1,0,25.74,3,46.63
Australia,2015,AUS,Oceania,Australia & New Zealand,102424791.2,35802.54,17.89,1832046.16,80.92,14.5,16.77,103.07,49.01,8.82,6.85,796772.74,1521142.89,0.61,0,0,0,26.57,5,47.36
USA,2018,USA,North America,Northern America,130242128.7,38611.04,53.48,6965619.17,88.2,23.21,50.58,156.25,146.54,11.71,12.5,9040462.08,3819550.15,4.18,0,1,1,82.6,1,39.15
India,1994,IND,Asia,South Asia,284326899.1,33538.1,28.38,8069050.79,62.31,15.8,22.21,44.79,77.76,6.25,7.89,8262981.68,3067624.61,2.59,0,0,1,65.58,5,86.96
Japan,2012,JPN,Asia,East Asia,127809586.1,5055.01,69.51,8884401.55,78.87,39.33,7.61,13.2,190.47,14.43,6.66,3768101.05,4876829.24,3.15,0,1,0,28.51,4,96.58
